demand_type,time_period,origin_zone,dest_zone,demand
cycling,AM Peak (7-9am),30101100101,30101100103,1.327990089
cycling,AM Peak (7-9am),30101100101,30101100120,6.806923859
cycling,AM Peak (7-9am),30101100101,30101100133,1.44936412
cycling,AM Peak (7-9am),30101100101,30101100442,2.362614716
cycling,AM Peak (7-9am),30101100101,30102100727,1.734732132
cycling,AM Peak (7-9am),30101100101,30102100728,4.88835289
cycling,AM Peak (7-9am),30101100101,30102100738,10.44359193
cycling,AM Peak (7-9am),30101100101,30102101324,1.58341571
cycling,AM Peak (7-9am),30101100101,30103101824,1.327990089
cycling,AM Peak (7-9am),30101100101,30103102110,1.452878738
cycling,AM Peak (7-9am),30101100101,30303106516,6.660588165
cycling,AM Peak (7-9am),30101100102,30101100103,7.913022995
cycling,AM Peak (7-9am),30101100102,30101100133,3.419323929
cycling,AM Peak (7-9am),30101100102,30101100311,1.633089394
cycling,AM Peak (7-9am),30101100102,30101100407,1.343602051
cycling,AM Peak (7-9am),30101100102,30101100433,3.403996819
cycling,AM Peak (7-9am),30101100102,30101100606,12.8429334
cycling,AM Peak (7-9am),30101100102,30102100738,3.193466782
cycling,AM Peak (7-9am),30101100102,30102100939,1.585109245
cycling,AM Peak (7-9am),30101100102,30102101219,1.430791275
cycling,AM Peak (7-9am),30101100102,30103101401,1.673293564
cycling,AM Peak (7-9am),30101100102,30501110621,1.616188858
cycling,AM Peak (7-9am),30101100103,30101100122,2.193721237
cycling,AM Peak (7-9am),30101100103,30101100134,1.736100052
cycling,AM Peak (7-9am),30101100103,30101100141,1.328706383
cycling,AM Peak (7-9am),30101100103,30102100903,1.719535248
cycling,AM Peak (7-9am),30101100111,30101100116,6.165979286
cycling,AM Peak (7-9am),30101100111,30101100208,3.766916428
cycling,AM Peak (7-9am),30101100111,30101100403,2.526457443
cycling,AM Peak (7-9am),30101100111,30101100407,1.452878738
cycling,AM Peak (7-9am),30101100111,30101100447,1.998995178
cycling,AM Peak (7-9am),30101100111,30101100606,6.987514481
cycling,AM Peak (7-9am),30101100111,30102100728,4.272144043
cycling,AM Peak (7-9am),30101100111,30103102031,1.356545319
cycling,AM Peak (7-9am),30101100111,30103102139,5.166090027
cycling,AM Peak (7-9am),30101100111,30203103603,1.958459442
cycling,AM Peak (7-9am),30101100111,30303106411,1.707926971
cycling,AM Peak (7-9am),30101100111,30501110531,2.034892365
cycling,AM Peak (7-9am),30101100111,30502111735,1.417338112
cycling,AM Peak (7-9am),30101100112,30101100607,1.858957748
cycling,AM Peak (7-9am),30101100114,30101100112,1.786670441
cycling,AM Peak (7-9am),30101100114,30101100116,3.415487366
cycling,AM Peak (7-9am),30101100114,30101100407,5.858967056
cycling,AM Peak (7-9am),30101100114,30101100429,1.786670441
cycling,AM Peak (7-9am),30101100114,30102101213,1.705292297
cycling,AM Peak (7-9am),30101100114,30102101302,1.23748362
cycling,AM Peak (7-9am),30101100114,30103101821,3.058004921
cycling,AM Peak (7-9am),30101100114,30103102031,1.813902283
cycling,AM Peak (7-9am),30101100114,30103102137,1.530291481
cycling,AM Peak (7-9am),30101100114,30301105135,1.859387009
cycling,AM Peak (7-9am),30101100114,30303106428,1.530291481
cycling,AM Peak (7-9am),30101100115,30101100120,3.372581871
cycling,AM Peak (7-9am),30101100115,30101100411,1.332496231
cycling,AM Peak (7-9am),30101100115,30301104813,1.96761792
cycling,AM Peak (7-9am),30101100115,30302105205,1.944219864
cycling,AM Peak (7-9am),30101100115,30303106032,1.58341571
cycling,AM Peak (7-9am),30101100116,30101100124,2.575467102
cycling,AM Peak (7-9am),30101100116,30101100129,5.992863426
cycling,AM Peak (7-9am),30101100116,30101100411,1.726853699
cycling,AM Peak (7-9am),30101100116,30101100417,11.59908575
cycling,AM Peak (7-9am),30101100116,30101100429,2.193721237
cycling,AM Peak (7-9am),30101100116,30102100738,1.726853699
cycling,AM Peak (7-9am),30101100116,30102100904,1.799298508
cycling,AM Peak (7-9am),30101100116,30103101510,1.726853699
cycling,AM Peak (7-9am),30101100116,30103101701,1.688459702
cycling,AM Peak (7-9am),30101100116,30301105142,5.347736542
cycling,AM Peak (7-9am),30101100116,30501110926,2.483472107
cycling,AM Peak (7-9am),30101100120,30101100101,2.149527267
cycling,AM Peak (7-9am),30101100120,30101100103,4.298014709
cycling,AM Peak (7-9am),30101100120,30101100115,1.740618393
cycling,AM Peak (7-9am),30101100120,30101100116,3.245720886
cycling,AM Peak (7-9am),30101100120,30101100125,1.58341571
cycling,AM Peak (7-9am),30101100120,30101100403,1.349320496
cycling,AM Peak (7-9am),30101100120,30101100407,1.755125763
cycling,AM Peak (7-9am),30101100120,30101100412,1.869019577
cycling,AM Peak (7-9am),30101100120,30101100428,2.193721237
cycling,AM Peak (7-9am),30101100120,30101100616,2.362614716
cycling,AM Peak (7-9am),30101100120,30102100726,1.897433868
cycling,AM Peak (7-9am),30101100120,30102100727,1.734732132
cycling,AM Peak (7-9am),30101100120,30102101212,1.726853699
cycling,AM Peak (7-9am),30101100121,30101100120,4.552149574
cycling,AM Peak (7-9am),30101100121,30101100142,6.716027603
cycling,AM Peak (7-9am),30101100121,30101100334,1.44936412
cycling,AM Peak (7-9am),30101100121,30101100336,1.488359261
cycling,AM Peak (7-9am),30101100121,30101100412,10.94080583
cycling,AM Peak (7-9am),30101100121,30101100447,1.51254155
cycling,AM Peak (7-9am),30101100121,30101100601,1.681528458
cycling,AM Peak (7-9am),30101100121,30102101325,1.993628632
cycling,AM Peak (7-9am),30101100121,30302105716,1.307470001
cycling,AM Peak (7-9am),30101100121,30502111513,1.23748362
cycling,AM Peak (7-9am),30101100122,30101100120,17.84332123
cycling,AM Peak (7-9am),30101100122,30101100407,1.734732132
cycling,AM Peak (7-9am),30101100122,30101100442,1.506271255
cycling,AM Peak (7-9am),30101100122,30101100606,1.740618393
cycling,AM Peak (7-9am),30101100122,30102100707,1.583629646
cycling,AM Peak (7-9am),30101100122,30102100728,2.149527267
cycling,AM Peak (7-9am),30101100122,30102100740,2.751338837
cycling,AM Peak (7-9am),30101100122,30102100804,2.034892365
cycling,AM Peak (7-9am),30101100122,30102101213,1.96761792
cycling,AM Peak (7-9am),30101100122,30103102036,2.392445328
cycling,AM Peak (7-9am),30101100122,30203103708,1.705322052
cycling,AM Peak (7-9am),30101100122,30301105010,3.541292458
cycling,AM Peak (7-9am),30101100122,30303106032,1.688459702
cycling,AM Peak (7-9am),30101100122,30303106221,2.382306137
cycling,AM Peak (7-9am),30101100122,30303106222,9.781368134
cycling,AM Peak (7-9am),30101100122,30306108026,1.327990089
cycling,AM Peak (7-9am),30101100124,30101100116,9.675127411
cycling,AM Peak (7-9am),30101100124,30101100125,1.328706383
cycling,AM Peak (7-9am),30101100124,30102100728,1.506271255
cycling,AM Peak (7-9am),30101100124,30102100812,1.288973824
