location_desc,i_node,j_node,length_metres,WKT,demand,person_km
Story Bridge Eastern-side,36,112792,157.52919,"LINESTRING(153.0341041 -27.4698488,153.034295 -27.4712268)",52.488673526,8.268498224725224
Story Bridge Eastern-side,629,122624,41.59621,"LINESTRING(153.084477240305 -27.4131607214143,153.0842919 -27.4134977)",7.890919861,0.32823235963132685
Story Bridge Eastern-side,639,47863,77.21793,"LINESTRING(153.1026691 -27.4056803,153.1033262 -27.4053048)",7.890919861,0.6093204974623077
Story Bridge Eastern-side,673,48586,98.2992,"LINESTRING(153.092571 -27.4138113,153.0918696 -27.4144399)",7.890919861,0.7756711096004113
Story Bridge Eastern-side,904,943,234.33781,"LINESTRING(153.0725503 -27.4263415,153.072205 -27.4284337)",33.989082401000005,7.964927133759883
Story Bridge Eastern-side,916,113139,55.45552,"LINESTRING(153.0718506 -27.4311203,153.0717812 -27.4316169)",33.989082401000005,1.8848822388703037
Story Bridge Eastern-side,928,48520,198.96115,"LINESTRING(153.0714379 -27.4336889,153.0716879 -27.4319073)",33.989082401000005,6.762506921947722
Story Bridge Eastern-side,941,904,224.37465,"LINESTRING(153.072205 -27.4284337,153.0719212 -27.4304426)",33.989082401000005,7.626288467545536
Story Bridge Eastern-side,942,1071,88.83161,"LINESTRING(153.0727987 -27.4248367,153.0726678 -27.4256298)",7.890919861,0.7009631156336061
Story Bridge Eastern-side,943,942,79.71486,"LINESTRING(153.0726678 -27.4256298,153.0725503 -27.4263415)",7.890919861,0.6290235719908345
Story Bridge Eastern-side,943,261833,61.86077,"LINESTRING(153.0725503 -27.4263415,153.071931 -27.4262623)",26.09816254,1.614452430309556
Story Bridge Eastern-side,961,928,41.96643,"LINESTRING(153.071369 -27.4340626,153.0714379 -27.4336889)",33.989082401000005,1.4264004473457987
Story Bridge Eastern-side,993,961,110.86733,"LINESTRING(153.0712061 -27.4350525,153.071369 -27.4340626)",33.989082401000005,3.76827881494886
Story Bridge Eastern-side,1071,1075,89.43657,"LINESTRING(153.0729305 -27.4240382,153.0727987 -27.4248367)",7.890919861,0.7057368065127169
Story Bridge Eastern-side,1075,1077,93.59165,"LINESTRING(153.0730684 -27.4232026,153.0729305 -27.4240382)",7.890919861,0.7385242098087607
Story Bridge Eastern-side,1077,1178,101.86891,"LINESTRING(153.0732185 -27.4222931,153.0730684 -27.4232026)",7.890919861,0.8038394051374215
Story Bridge Eastern-side,1161,48030,113.19288,"LINESTRING(153.0737184 -27.4192644,153.0735516 -27.420275)",7.890919861,0.8931959449157897
Story Bridge Eastern-side,1178,23937,107.3464,"LINESTRING(153.0733767 -27.4213347,153.0732185 -27.4222931)",7.890919861,0.8470618397668506
Story Bridge Eastern-side,1196,274382,89.76715,"LINESTRING(153.0741378 -27.4170009,153.0739608 -27.4177954)",7.890919861,0.7083453868003662
Story Bridge Eastern-side,1201,1161,12.78082,"LINESTRING(153.0735516 -27.420275,153.0735327 -27.4203891)",7.890919861,0.10085242637786603
Story Bridge Eastern-side,4008,4069,25.78326,"LINESTRING(153.035734 -27.4612158,153.0357756 -27.4614455)",33.095055883,0.8532984305459186
Story Bridge Eastern-side,4009,4008,11.95506,"LINESTRING(153.0357756 -27.4614455,153.0358395 -27.4615371)",33.095055883,0.395653378784618
Story Bridge Eastern-side,4068,4075,19.41129,"LINESTRING(153.0364673 -27.4604507,153.0363382 -27.4605827)",33.095055883,0.6424177273111191
Story Bridge Eastern-side,4069,4068,92.15703,"LINESTRING(153.0363382 -27.4605827,153.035734 -27.4612158)",33.095055883,3.0499420578613075
Story Bridge Eastern-side,4070,4079,19.0995,"LINESTRING(153.0368509 -27.4600582,153.0367239 -27.4601881)",33.095055883,0.6320990198373585
Story Bridge Eastern-side,4071,4070,6.92207,"LINESTRING(153.0367239 -27.4601881,153.0366779 -27.4602352)",33.095055883,0.22908629347603782
Story Bridge Eastern-side,4073,4071,4.12689,"LINESTRING(153.0366779 -27.4602352,153.0366505 -27.4602633)",33.095055883,0.1365796551729939
Story Bridge Eastern-side,4075,4073,27.55278,"LINESTRING(153.0366505 -27.4602633,153.0364673 -27.4604507)",33.095055883,0.9118607938320047
Story Bridge Eastern-side,4079,342734,7.04453,"LINESTRING(153.0368509 -27.4600582,153.0369082 -27.460096)",33.095055883,0.23313911401947
