origin_zone,dest_zone,location_desc
30503112103,30501111014,Victoria Bridge SE-side
30101100102,30501110621,Story Bridge Western-side
30101100125,30501111105,Story Bridge Western-side
30101100431,30501110612,Story Bridge Western-side
30101100614,30503112613,Story Bridge Western-side
30102101232,30501110536,Story Bridge Western-side
30102101313,30501110541,Story Bridge Western-side
30103101824,30501110531,Story Bridge Western-side
30103102130,30501110612,Story Bridge Western-side
30301104808,30501110536,Story Bridge Western-side
30301105109,30501110601,Story Bridge Western-side
30302105306,30501110612,Story Bridge Western-side
30302105306,30501111105,Story Bridge Western-side
30302105712,30501111109,Story Bridge Western-side
30303106416,30503112614,Story Bridge Western-side
30304106801,30202103011,Story Bridge Western-side
30304106814,30501110621,Story Bridge Western-side
30304106912,30503112614,Story Bridge Western-side
30304107002,30202103004,Story Bridge Western-side
30304107016,30503112806,Story Bridge Western-side
30304107116,30501110621,Story Bridge Western-side
30306107809,30501111110,Story Bridge Western-side
30306107829,30501110621,Story Bridge Western-side
30502111308,30501110622,Story Bridge Western-side
30502111308,30501111109,Story Bridge Western-side
30502111503,30503113111,Story Bridge Western-side
30502111503,30504113230,Story Bridge Western-side
30502111702,30501110531,Story Bridge Western-side
30202102820,30502111518,Story Bridge Western-side
30203103807,30304107008,Story Bridge Western-side
30203103924,30305107401,Story Bridge Western-side
30204104401,30303106516,Story Bridge Western-side
30404110303,30103102031,Story Bridge Western-side
30501110531,30103101401,Story Bridge Western-side
30501110531,30502111718,Story Bridge Western-side
30501110536,30103102126,Story Bridge Western-side
30501110612,30302105315,Story Bridge Western-side
30501111109,30502111308,Story Bridge Western-side
30501111115,30101100203,Story Bridge Western-side
30501111115,30502111308,Story Bridge Western-side
30503112614,30302105526,Story Bridge Western-side
30503112905,30502111729,Story Bridge Western-side
30503113006,30302105805,Story Bridge Western-side
30503113014,30304106801,Story Bridge Western-side
30101100116,30501110926,Story Bridge Eastern-side
30101100204,30501110623,Story Bridge Eastern-side
30101100329,30503112825,Story Bridge Eastern-side
30101100403,30503112825,Story Bridge Eastern-side
30101100407,30501110623,Story Bridge Eastern-side
30301104804,30501110624,Story Bridge Eastern-side
30301105102,30503112825,Story Bridge Eastern-side
30302105504,30503111915,Story Bridge Eastern-side
30304106801,30503111915,Story Bridge Eastern-side
30304106814,30203103603,Story Bridge Eastern-side
30304106912,30503112416,Story Bridge Eastern-side
30304107112,30203103708,Story Bridge Eastern-side
30306107905,30203103708,Story Bridge Eastern-side
30502111503,30503112112,Story Bridge Eastern-side
30203103603,30302105928,Story Bridge Eastern-side
30501110623,30502111309,Story Bridge Eastern-side
30501110908,30101100328,Story Bridge Eastern-side
30503111911,30502111609,Story Bridge Eastern-side
30503112103,30302105517,Story Bridge Eastern-side
30503112103,30403109615,Story Bridge Eastern-side
30503112103,30502111503,Story Bridge Eastern-side
30503112208,30502111503,Story Bridge Eastern-side
30503112501,30302105340,Story Bridge Eastern-side
30402109007,30501111008,Victoria Bridge NW-side
30501110531,30501111014,Victoria Bridge NW-side
30401108117,30101100403,Eleanor Schonell Bridge (UQ Green Bridge)
30401108402,30303106516,Eleanor Schonell Bridge (UQ Green Bridge)
30402108628,30304107116,Eleanor Schonell Bridge (UQ Green Bridge)
30402108717,30301105011,Eleanor Schonell Bridge (UQ Green Bridge)
30402108803,30303106044,Eleanor Schonell Bridge (UQ Green Bridge)
30402108805,30303106032,Eleanor Schonell Bridge (UQ Green Bridge)
30402109111,30501111001,Eleanor Schonell Bridge (UQ Green Bridge)
30403109423,30302105810,Eleanor Schonell Bridge (UQ Green Bridge)
30403109430,30304107008,Eleanor Schonell Bridge (UQ Green Bridge)
30403109613,30305107625,Eleanor Schonell Bridge (UQ Green Bridge)
30403109613,30501110513,Eleanor Schonell Bridge (UQ Green Bridge)
30403109715,30302105226,Eleanor Schonell Bridge (UQ Green Bridge)
30504113710,30302105802,Eleanor Schonell Bridge (UQ Green Bridge)
30201102317,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30202102727,30101100125,Sir Leo Hielscher Bridge (Gateway Motorway)
30202103001,30103101801,Sir Leo Hielscher Bridge (Gateway Motorway)
30202103422,30301104814,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103603,30101100609,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103603,30103102014,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103603,30303106613,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103807,30301104814,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103924,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103924,30502111409,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103931,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30203104025,30102100728,Sir Leo Hielscher Bridge (Gateway Motorway)
30204104212,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30404110005,30103101711,Sir Leo Hielscher Bridge (Gateway Motorway)
30503113018,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30503113101,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100111,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100122,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100124,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100141,30202102820,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100306,30202103220,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100306,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100316,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100316,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100422,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100423,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100423,30203103815,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100430,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100447,30203103701,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100609,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100617,30203103505,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100710,30503112403,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100718,30503112513,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100718,30503113123,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100804,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100901,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100917,30503112505,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100936,30202102830,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100936,30203103808,Sir Leo Hielscher Bridge (Gateway Motorway)
30102101232,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30102101247,30203103701,Sir Leo Hielscher Bridge (Gateway Motorway)
30102101301,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30103101518,30503112403,Sir Leo Hielscher Bridge (Gateway Motorway)
30103101620,30202103110,Sir Leo Hielscher Bridge (Gateway Motorway)
30103101918,30202103011,Sir Leo Hielscher Bridge (Gateway Motorway)
30103102108,30503112614,Sir Leo Hielscher Bridge (Gateway Motorway)
30103102130,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104804,30202103225,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104804,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104804,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104913,30201102414,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104913,30503113122,Sir Leo Hielscher Bridge (Gateway Motorway)
30302105310,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30302105327,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30303106221,30204104601,Sir Leo Hielscher Bridge (Gateway Motorway)
30303106416,30202102822,Sir Leo Hielscher Bridge (Gateway Motorway)
30502111310,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30501110703,30503113004,William Jolly Bridge
30501111204,30503112614,William Jolly Bridge
30201102604,30302105812,Goodwill Bridge WB
30201102617,30302105802,Goodwill Bridge WB
30202103217,30305107612,Goodwill Bridge WB
30202103422,30403109615,Goodwill Bridge WB
30403109715,30502111512,Goodwill Bridge WB
30404110303,30302105820,Goodwill Bridge WB
30404110303,30501111001,Goodwill Bridge WB
30501110519,30501111001,Goodwill Bridge WB
30501110531,30101100420,Goodwill Bridge WB
30501110531,30304107111,Goodwill Bridge WB
30501110531,30502111510,Goodwill Bridge WB
30501110538,30303106032,Goodwill Bridge WB
30501111101,30302105605,Goodwill Bridge WB
30501111115,30302105208,Goodwill Bridge WB
30501111115,30302105928,Goodwill Bridge WB
30503112620,30302105812,Goodwill Bridge WB
30503112620,30303106523,Goodwill Bridge WB
30503112904,30304107008,Goodwill Bridge WB
30503112905,30305107631,Goodwill Bridge WB
30504113225,30305107327,Goodwill Bridge WB
30504113230,30301105129,Goodwill Bridge WB
30504113230,30501111001,Goodwill Bridge WB
30504113512,30302105815,Goodwill Bridge WB
30504113523,30101100614,Goodwill Bridge WB
30504113708,30501111001,Goodwill Bridge WB
30504113717,30302105533,Goodwill Bridge WB
